headword	token	lemma	english	dice	ppmi	label	cluster
бедро_NOUN	женский	женский_ADJ	feminine	0.000503144654088	2.33237539682	Size and shape	0
бедро_NOUN	крутой	крутой_ADJ	curvaceous	0.00407747196738	4.56990389618	Size and shape	0
бедро_NOUN	мальчишеский	мальчишеский_ADJ	boyish	0.00105977108944	4.25551512543	Size and shape	0
бедро_NOUN	округлый	округлый_ADJ	rounded	0.00161355385236	4.55273831319	Size and shape	0
бедро_NOUN	полный	полный_ADJ	full	0.000172177132007	1.16134209689	Size and shape	0
бедро_NOUN	тяжелый	тяжелый_ADJ	heavy	0.000165629945894	1.15456969481	Size and shape	0
бедро_NOUN	узкий	узкий_ADJ	narrow	0.00233090530697	3.88811693849	Size and shape	0
бедро_NOUN	худой	худой_ADJ	bony	0.000330054789095	2.0366106525	Size and shape	0
бедро_NOUN	широкий	широкий_ADJ	broad	0.0014793331322	3.34807327353	Size and shape	0
бок_NOUN	округлый	округлый_ADJ	round	0.000428591837707	2.93786846254	Size and shape	0
бок_NOUN	полный	полный_ADJ	full	0.0	0.0	Size and shape	0
бок_NOUN	худой	худой_ADJ	bony	0.000288554023726	0.0	Size and shape	0
бок_NOUN	широкий	широкий_ADJ	broad	0.00040050136838	0.0	Size and shape	0
борода_NOUN	ассирийская	ассирийский_ADJ	a large, curly beard, like an Assyrian's	0.00134427621339	5.63406606359	Size and shape; aesthetics	0
борода_NOUN	белая	белый_ADJ	a white beard	0.00210709498389	2.38193950284	Color (natural and dyed)	1
борода_NOUN	белоснежная	белоснежный_ADJ	a snow-white beard	0.000504700018926	2.87334995208	Color (natural and dyed)	1
борода_NOUN	благообразная	благообразный_ADJ	a distinguished beard	0.0004086636698	3.44976866404	Size and shape; aesthetics	0
борода_NOUN	большая	больший_ADJ	a large beard	0.0	0.0	Size and shape; aesthetics	0
борода_NOUN	всклокоченная	всклокочивать_VERB	a disheveled beard	0.00393347595059	5.95506283879	Growing, wearing, and tending a beard	3
борода_NOUN	грязная	грязный_ADJ	a dirty beard	0.000374028800218	1.1492248352	Growing, wearing, and tending a beard	3
борода_NOUN	густая	густой_ADJ	a thick beard	0.00389416660124	3.4264967791	Thickness and tactile properties	2
борода_NOUN	длинная	длинный_ADJ	a long beard	0.00505815264667	3.37030238887	Size and shape; aesthetics	0
борода_NOUN	жалкая	жалкий_ADJ	a pathetic beard	0.0	0.0	Size and shape; aesthetics	0
борода_NOUN	жёсткая	жесткий_ADJ	a stiff, wiry beard	0.000857913228205	2.17645073084	Thickness and tactile properties	2
борода_NOUN	жидкая	жидкий_ADJ	a scraggly beard,	0.0010384986277	2.68688510299	Thickness and tactile properties	2
борода_NOUN	заиндевевшая	заиндеветь_VERB	a beard covered with frost	0.000639272649785	5.08880452609	Other visible properties and conditions	4
борода_NOUN	заиндевелая	заиндевелый_ADJ	a beard covered with frost	0.000285571499964	4.61798217966	Other visible properties and conditions	4
борода_NOUN	запущенная	запущенный_ADJ	a neglected beard	0.000595967288018	3.45467400106	Growing, wearing, and tending a beard	3
борода_NOUN	золотистая	золотистый_ADJ	a golden beard	0.00118220777302	3.36578594397	Color (natural and dyed)	1
борода_NOUN	клочковатая	клочковатый_ADJ	a ragged beard	0.0013535173642	6.01672888082	Growing, wearing, and tending a beard	3
борода_NOUN	козлиная	козлиный_ADJ	a goatish beard	0.00397392547147	6.20778411758	Size and shape; aesthetics	0
